lambda,CH0 - loss [db/mm],CH0 - insertion loss [dB]
1535.2499999999998,-0.00415,-35.20167

1535.2549999999999,-0.0025,-35.1883

1535.2599999999998,0.00098,-35.77302

1535.2649999999996,-0.03714,-40.92506

1535.2699999999998,-0.00507,-35.29222

1535.2749999999999,-0.01014,-34.21177

1535.28,-0.00508,-34.96607

1535.2849999999999,0.00901,-37.57894

1535.2899999999997,0.00179,-36.08278

1535.2949999999998,0.00512,-36.60222

1535.3,0.09147,-53.8523

1535.3049999999998,-0.00765,-34.66117

1535.31,-0.00793,-34.08697

1535.3149999999998,-0.00451,-35.39067

1535.3199999999997,-0.00361,-35.29802

1535.3249999999998,0.00432,-36.77192

1535.33,0.08839,-53.89645

1535.3349999999998,-0.00334,-35.12749

1535.34,-0.00489,-35.16639

1535.3449999999998,-0.00349,-35.72145

1535.3499999999997,0.08922,-53.89718

1535.3549999999998,-0.0018,-35.41608

1535.36,0.00368,-36.76049

1535.3649999999998,-0.00279,-35.22069

1535.37,0.00625,-36.59532

1535.3749999999998,0.02019,-39.64872

1535.3799999999997,0.00167,-35.98408

1535.3849999999998,-0.0033,-35.21111

1535.3899999999999,-0.00787,-34.33813

1535.395,-0.0015,-35.23862

1535.3999999999999,-1e-05,-36.17656

1535.4049999999997,-0.00516,-34.64993

1535.4099999999999,-0.00638,-34.30006

1535.4149999999997,-0.00117,-35.37018

1535.4199999999998,-0.00257,-35.46615

1535.425,-0.01111,-33.89826

1535.4299999999998,-0.00933,-34.00257

1535.4349999999997,-0.00637,-34.7035

1535.4399999999998,0.00311,-36.37666

1535.4449999999997,0.00897,-37.49868

1535.4499999999998,-0.00579,-34.56145

1535.455,-0.00318,-35.33665

1535.4599999999998,-0.00444,-35.35441

1535.4649999999997,-0.00629,-34.40276

1535.4699999999998,-0.0058,-34.3417

1535.475,0.08947,-53.93121

1535.4799999999998,-2e-05,-36.10782

1535.485,-0.0034,-35.45662

1535.4899999999998,-0.00776,-34.62412

1535.4949999999997,-0.00304,-35.21485

1535.4999999999998,0.00243,-36.49473

1535.5049999999999,-0.00397,-35.02422

1535.51,0.08988,-53.92639

1535.5149999999999,0.08919,-54.01973

1535.5199999999998,0.01001,-37.97647

1535.5249999999999,-0.00806,-34.58533

1535.5299999999997,-0.01211,-34.38458

1535.5349999999999,0.08857,-54.06839

1535.54,0.00466,-36.56302

1535.5449999999998,-0.00795,-33.91961

1535.5499999999997,0.08894,-53.91451

1535.5549999999998,0.0905,-53.8711

1535.5599999999997,-0.00798,-34.31721

1535.5649999999998,0.00542,-37.18741

1535.57,-0.00423,-35.31293

1535.5749999999998,-0.00729,-34.77208

1535.5799999999997,-0.00644,-35.41678

1535.5849999999998,0.00132,-36.6496

1535.5899999999997,0.00238,-36.86949

1535.5949999999998,-0.00472,-35.20975

1535.6,-0.00689,-35.08291

1535.6049999999998,-0.0086,-34.06892

1535.6099999999997,0.00449,-36.6287

1535.6149999999998,-0.00492,-34.87338

1535.62,-0.0065,-34.4373

1535.625,-0.00813,-34.18268

1535.6299999999999,-0.01503,-33.07433

1535.6349999999998,0.00644,-37.48358

1535.6399999999999,-0.00455,-35.67381

1535.6449999999998,-0.00673,-35.39758

1535.6499999999999,-0.00448,-35.35686

1535.655,-0.00606,-34.74899

1535.6599999999999,-0.00668,-34.40585

1535.6649999999997,0.0034,-36.57765

1535.6699999999998,0.09042,-53.94993

1535.6749999999997,-0.00079,-35.50659

1535.6799999999998,0.09077,-53.86534

1535.685,0.09071,-53.86478

1535.6899999999998,0.01841,-39.61233

1535.6949999999997,-0.00139,-35.57631

1535.6999999999998,0.08918,-54.08262

1535.7049999999997,0.08972,-53.98789

1535.7099999999998,0.0885,-54.02585

1535.715,-0.00321,-35.32988

1535.7199999999998,-0.00233,-35.28627

1535.7249999999997,-0.00642,-34.49728

1535.7299999999998,-0.00464,-34.94066

1535.7349999999997,-0.003,-35.30956

1535.74,0.09027,-54.02975

1535.745,0.09084,-53.94527

1535.7499999999998,-0.00794,-33.86753

1535.7549999999999,-0.01377,-33.72475

1535.7599999999998,-0.00869,-34.73686

1535.7649999999999,0.00213,-36.44119

1535.77,-0.00936,-33.8843

1535.7749999999999,-0.00381,-35.43526

1535.7799999999997,-0.00742,-34.40935

1535.7849999999999,-0.00959,-33.78498

1535.7899999999997,-0.00658,-34.78459

1535.7949999999998,0.00279,-37.10798

1535.8,-0.00322,-35.443

1535.8049999999998,-0.00852,-34.65049

1535.8099999999997,-0.00332,-35.3795

1535.8149999999998,-0.00071,-36.25114

1535.8199999999997,0.08978,-54.06106

1535.8249999999998,-0.00723,-34.445

1535.83,0.00816,-38.0846

1535.8349999999998,-0.00857,-34.35319

1535.84,-0.00615,-35.83838

1535.8449999999998,-0.00151,-35.79749

1535.8499999999997,-0.01187,-33.85033

1535.855,-0.00243,-35.27061

1535.86,0.08992,-54.17969

1535.8649999999998,0.00011,-36.16129

1535.87,-0.00907,-33.96839

1535.8749999999998,0.09128,-54.20426

1535.8799999999997,0.0898,-54.08197

1535.885,-0.00094,-36.35491

1535.8899999999999,-0.00288,-36.07221

1535.8949999999998,-0.01055,-34.39681

1535.8999999999999,-0.00663,-35.1706

