CH0 - 240.0,CH0 - 160.0,CH0 - 40.0,CH0 - 0.0,CH0 - 200.0,CH0 - 80.0,CH0 - 120.0
-110.0,-45.68857205157505,-37.81545245031592,-34.940914813060104,-46.29987843862162,-40.96116162407551,-42.4216238689909
-54.12126406523588,-45.52544875980752,-37.88910500645328,-34.901252102228646,-46.11836281465939,-40.80374494043676,-42.50042385558625
-53.78794642324846,-45.73355725340413,-37.90930559664262,-34.86513655443535,-46.35788974897922,-41.006608768880504,-42.510997174585
-62.59569696674825,-45.868335026387044,-37.887009909994376,-34.81753895986137,-46.513883209149725,-40.858939390486896,-42.54422289577731
-56.10054816171767,-45.701377489903464,-37.8994787862906,-34.884763160837274,-46.51388321039025,-40.5378457471935,-42.69853748015364
-62.798074061075496,-45.799310235353545,-38.04135978373401,-34.92534777271841,-46.35788974897922,-40.49223219871883,-43.17285421824215
-58.47180025446197,-46.03443666685915,-38.04690182980561,-34.996312840930074,-46.126314683861395,-40.66237051673547,-42.29952633973271
-55.0094040553911,-45.68906387129249,-38.18159413222641,-35.02296946644715,-47.01764889111681,-40.754192659044826,-42.29952633973271
-110.0,-45.30511334376834,-38.165906007832184,-35.02296946644715,-46.685906636594694,-40.67865037682953,-42.43079336131632
-56.72832396185558,-45.18792723231799,-38.004488064109225,-35.00604333103332,-46.5876173033582,-40.669760414357654,-42.56609714863587
-59.748780027282564,-45.38690658571811,-38.022216649593794,-34.95306825360616,-46.29117750711596,-40.59948239433311,-42.57159792756152
-110.0,-45.66395065438924,-38.0844400970357,-34.94912723460875,-46.03443666685915,-40.52329368851014,-42.781208214142836
-110.0,-45.34086564048907,-38.0844400970357,-34.973864464896856,-46.35199479460998,-40.44897006366821,-42.77619962003151
-110.0,-44.50986733253504,-38.0844400970357,-34.98380704406416,-46.94152689569543,-40.406134635881685,-42.714274851288714
-80.66160281202107,-45.046829762879895,-38.0844400970357,-35.025437341432266,-46.3467107228021,-40.406134635881685,-42.75314306001407
-58.24384984563163,-45.52878120230186,-38.0844400970357,-35.06677640471433,-46.07619701361067,-40.4146679881923,-42.831944953363326
-64.36362854569437,-45.474569165445814,-38.209453958776514,-35.037554300310376,-46.74367806455221,-40.559415955499745,-42.59035668802846
-110.0,-45.25996969984422,-38.24291501586583,-34.98429345755383,-47.30060291628455,-40.64415985771578,-42.90138418979168
-110.0,-45.50795053205904,-38.19919508125332,-34.95789755597596,-47.21265213942711,-40.669760414357654,-43.01457387086064
-63.05165230238143,-46.00286894763501,-38.231697448001604,-34.973864464896856,-46.832319155646545,-40.73977008431547,-43.080938861072994
-110.0,-46.294665458485454,-38.188145143830056,-34.973864464896856,-47.488558048612276,-40.83368163639318,-43.128611377140714
-110.0,-46.13776532979783,-38.143576344813255,-35.037450784941875,-46.795923855029486,-40.73743960332144,-42.992813631149744
-60.00421326644819,-46.03443666685915,-38.13469875288769,-35.012499366215415,-46.70720479594168,-40.50574831513295,-42.85927231333075
-63.4299245034199,-46.303216059460695,-38.07833068244199,-35.0263564655652,-46.932449036435855,-40.937105863705,-42.73182298759523
-57.056076841771485,-46.35150505753613,-38.12552117938611,-35.05880279956684,-47.087093238607764,-40.846397306348194,-42.82922899471862
-55.89899657253878,-45.987706849162194,-38.19808323412896,-35.07259540238038,-46.76352963507938,-40.9376700808957,-42.544704684512894
-60.45119042048174,-46.62561802293834,-38.13469875288769,-35.064923636058055,-46.77193358235303,-40.77703684536119,-42.43345959894177
-57.18169349488137,-46.24320679653431,-38.12041549578972,-35.04771155163084,-47.50360254908638,-40.67322810651798,-42.43345959894177
-55.353219043356034,-45.69222689696855,-38.072708120671464,-35.04225618592309,-47.221595262558,-40.71705141419993,-42.43345959894177
-110.0,-45.45217902890472,-38.04589177133988,-35.011897463925045,-46.827633926178564,-40.669760414357654,-42.34824767714005
