lambda,CH0 - loss [db/um],CH0 - insertion loss [dB]
1535.5199999999998,-0.08187,-33.85304
1535.5249999999999,-0.2212,-24.7795
1535.5299999999997,-0.08519,-33.80803
1535.5349999999999,-0.22042,-24.71035
1535.54,-0.07039,-34.67563
1535.5449999999998,-0.06999,-34.76815
1535.5499999999997,-0.09428,-33.12677
1535.5549999999998,-0.07682,-34.25809
1535.5599999999997,-0.09425,-33.20262
1535.5649999999998,-0.0821,-33.95281
1535.57,-0.07372,-34.57853
1535.5749999999998,-0.22018,-24.76302
1535.5799999999997,-0.07755,-34.23026
1535.5849999999998,-0.08546,-33.68412
1535.5899999999997,-0.21982,-24.77022
1535.5949999999998,-0.22009,-24.72818
1535.6,-0.22042,-24.64146
1535.6049999999998,-0.14114,-29.967
1535.6099999999997,-0.08092,-34.03929
1535.6149999999998,-0.09818,-32.92961
1535.62,-0.22123,-24.78566
1535.625,-0.22142,-24.7955
1535.6299999999999,-0.09527,-33.26998
1535.6349999999998,-0.22245,-24.86462
1535.6399999999999,-0.22106,-24.87864
1535.6449999999998,-0.08719,-33.71735
1535.6499999999999,-0.09668,-33.17506
1535.655,-0.07984,-34.32708
1535.6599999999999,-0.07559,-34.55831
1535.6649999999997,-0.08864,-33.68535
1535.6699999999998,-0.08102,-34.16423
1535.6749999999997,-0.07518,-34.48259
1535.6799999999998,-0.22081,-24.69614
1535.685,-0.221,-24.73374
1535.6899999999998,-0.22093,-24.79362
1535.6949999999997,-0.2209,-24.68493
1535.6999999999998,-0.22089,-24.7122
1535.7049999999997,-0.09146,-33.39642
1535.7099999999998,-0.08884,-33.51766
1535.715,-0.21962,-24.87475
1535.7199999999998,-0.22055,-24.84082
1535.7249999999997,-0.22,-24.84935
1535.7299999999998,-0.07274,-34.71715
1535.7349999999997,-0.22053,-24.87657
1535.74,-0.21905,-24.97812
1535.745,-0.21785,-24.99951
1535.7499999999998,-0.09336,-33.3229
1535.7549999999999,-0.08031,-34.2234
1535.7599999999998,-0.21855,-24.94362
1535.7649999999999,-0.2193,-24.94044
1535.77,-0.07777,-34.41212
1535.7749999999999,-0.22041,-24.90037
1535.7799999999997,-0.07192,-34.74442
1535.7849999999999,-0.10195,-32.76384
